UID,FRP,Previous_Box,NMR_Sample_map
2022-12-12_2847_7,YES,NMR_Box_3_20,NMR_B3_20
2022-12-13_3667_23,YES,NMR_Box_3_21,NMR_B3_21
2022-12-14_3775_17,YES,NMR_Box_3_22,NMR_B3_22
2022-07-23_3238_1,YES,NMR_Box_3_23,NMR_B3_23
2022-07-20_3449_1,YES,NMR_Box_3_24,NMR_B3_24
2022-07-20_3426_6,YES,NMR_Box_3_25,NMR_B3_25
2022-07-20_3498_9,YES,NMR_Box_3_26,NMR_B3_26
2022-07-20_3350_10,YES,NMR_Box_3_27,NMR_B3_27
2022-07-18_3466_6,YES,NMR_Box_3_28,NMR_B3_28
2022-06-28_3340_13,YES,NMR_Box_3_29,NMR_B3_29
2022-07-20_3476_2,YES,NMR_Box_3_30,NMR_B3_30
2022-07-21_3438_7,YES,NMR_Box_3_31,NMR_B3_31
2022-07-20_3462_7,YES,NMR_Box_3_33,NMR_B3_32
2022-06-24_3190_8,YES,NMR_Box_3_34,NMR_B3_33
2022-06-26_3341_2,YES,NMR_Box_3_35,NMR_B3_34
2022-06-27_3064_22,YES,NMR_Box_3_36,NMR_B3_35
2022-06-25_3147_9,YES,NMR_Box_3_37,NMR_B3_36
2022-06-25_3150_13,YES,NMR_Box_3_38,NMR_B3_37
2022-06-25_3303_22,YES,NMR_Box_3_39,NMR_B3_38
2022-06-25_3309_6,NA,NMR_Box_3_40,NMR_B3_39
2022-06-26_3109_14,YES,NMR_Box_3_41,NMR_B3_40
2022-06-25_3335_15,YES,NMR_Box_3_42,NMR_B3_41
2022-06-23_3181_7,YES,NMR_Box_3_43,NMR_B3_42
2022-06-28_3330_9,YES,NMR_Box_3_44,NMR_B3_43
2022-06-26_3169_8,NA,NMR_Box_3_45,NMR_B3_44
2022-06-28_3342_22,YES,NMR_Box_3_46,NMR_B3_45
2022-06-28_3111_3,YES,NMR_Box_3_47,NMR_B3_46
2022-06-28_3324_21,YES,NMR_Box_3_48,NMR_B3_47
2022-07-18_3494_7,YES,NMR_Box_3_49,NMR_B3_48
2022-08-03_3432_2,NA,NMR_Box_3_50,NMR_B3_49
2022-08-04_2949_7,NA,NMR_Box_3_51,NMR_B3_50
2022-07-19_3416_1,YES,NMR_Box_3_52,NMR_B3_51
2022-07-27_2894_18,YES,NMR_Box_3_53,NMR_B3_52
2022-07-20_3458_8,YES,NMR_Box_3_54,NMR_B3_53
2022-07-19_2794_4,YES,NMR_Box_3_55,NMR_B3_54
2022-07-18_3471_13,YES,NMR_Box_3_56,NMR_B3_55
2022-07-20_3443_14,YES,NMR_Box_3_57,NMR_B3_56
2022-07-19_3461_14,YES,NMR_Box_3_58,NMR_B3_57
2022-07-20_3413_3,YES,NMR_Box_3_59,NMR_B3_58
2022-08-03_3120_1,NA,NMR_Box_3_60,NMR_B3_59
2022-07-20_3444_11,YES,NMR_Box_3_61,NMR_B3_60
2022-07-19_2903_13,YES,NMR_Box_3_62,NMR_B3_61
2022-07-23_2704_3,NA,NMR_Box_3_63,NMR_B3_62
2022-07-19_3452_16,YES,NMR_Box_3_64,NMR_B3_63
2022-07-22_3414_11,YES,NMR_Box_3_65,NMR_B3_64
2022-07-20_3424_15,YES,NMR_Box_3_66,NMR_B3_65
2022-07-27_2966_20,YES,NMR_Box_3_67,NMR_B3_66
2022-07-18_3473_1,YES,NMR_Box_3_68,NMR_B3_67
2022-07-27_3256_4,YES,NMR_Box_3_69,NMR_B3_68
2022-08-04_3214_8,NA,NMR_Box_3_70,NMR_B3_69
2022-07-19_3437_12,YES,NMR_Box_3_71,NMR_B3_70
2022-07-20_3425_5,YES,NMR_Box_3_72,NMR_B3_71
2022-07-19_3422_9,YES,NMR_Box_3_73,NMR_B3_72
2022-06-27_3347_16,NA,NMR_Box_3_74,NMR_B3_73
2022-12-12_3683_3,YES,NMR_Box_3_75,NMR_B3_74
2022-12-13_3826_17,YES,NMR_Box_3_76,NMR_B3_75
2022-06-24_3159_1,,"Box_1_2024_1,Box_2_2024_16,Box_2_2024_15",NMR_B4_1
2022-06-24_3182_12,,"Box_1_2024_13,Box_2_2024_9",NMR_B4_2
2022-06-26_3138_18,,"Box_1_2024_15,Box_1_2024_16",NMR_B4_3
2022-06-26_3139_3,,"Box_1_2024_18,Box_1_2024_68",NMR_B4_4
2022-06-24_3192_9,,"Box_1_2024_24,Box_1_2024_7",NMR_B4_5
2022-06-23_3171_9,,"Box_1_2024_28,Box_2_2024_2",NMR_B4_6
2022-06-27_3010_26,,"Box_1_2024_30,Box_2_2024_26,Box_1_2024_27",NMR_B4_7
2022-06-27_3110_17,,"Box_1_2024_33,Box_1_2024_22",NMR_B4_8
2022-06-24_3166_10,,"Box_1_2024_36,Box_2_2024_30",NMR_B4_9
2022-06-24_3162_22,,"Box_1_2024_42,Box_2_2024_41",NMR_B4_10
2022-06-27_3344_13,,"Box_1_2024_43,Box_11_2024_26",NMR_B4_11
2022-06-24_3155_3,,"Box_1_2024_45,Box_2_2024_49",NMR_B4_12
2022-06-24_3172_23,,"Box_1_2024_52,Box_1_2024_29",NMR_B4_13
2022-06-25_3198_11,,"Box_1_2024_53,Box_1_2024_72",NMR_B4_14
2022-06-26_3113_12,,"Box_1_2024_55,Box_2_2024_27",NMR_B4_15
2022-06-24_3176_19,,"Box_1_2024_58,Box_1_2024_20",NMR_B4_16
