StudyID,Who,Population,Sex,N,Biome,Country,Lattitude,Longitude,Region,SerumLevel_mg_dL,SL_SD_mg_dL,HDL_Chol_mg_dL,HDL_SD_mg_dL,LDL_Chol_mg_dL,LDL_SD_mg_dL,Triglyceride_Chol_mg_dL,Triglyceride_SD_mg_dL,ANCESTRY,study_ID_Ancestry
TURK2-A,Ashley,Turks,M,233,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,37.4,11,NA,NA,143,88,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,M,199,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,39.2,13,NA,NA,131,79,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,M,87,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,42,14,NA,NA,115,50,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,F,352,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,42.7,12,NA,NA,106,63,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,F,34,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,44.2,13,NA,NA,59,49,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,F,337,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,44.4,13,NA,NA,125,68,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,F,252,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,44.8,11,NA,NA,137,83,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,F,72,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,46.5,11,NA,NA,142,86,Middle_Eastern_Ancestry,TRK2
TURK2-A,Ashley,Turks,F,214,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,49,15,NA,NA,157,93,Middle_Eastern_Ancestry,TRK2
TURK2-B,Ashley,Turks,M,705,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Middle_Eastern_Ancestry,TRK2
TURK2-B,Ashley,Turks,F,760,Temperate rainforest,Turkey,38.9637,35.2433,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Middle_Eastern_Ancestry,TRK2
VIE3,Phoebe,Kinh,F,4770,Tropical and Subtropical Moist Broadleaf Forests,Vietnam,14.0583,108.2772,Asia,181.749,27.069,NA,NA,NA,NA,NA,NA,East_Asian,VIE3
VIE3,Phoebe,Kinh,M,3989,Tropical and Subtropical Moist Broadleaf Forests,Vietnam,14.0583,108.2772,Asia,181.749,27.069,NA,NA,NA,NA,NA,NA,East_Asian,VIE3
VIE3,Phoebe,Kinh,M,2815,Tropical and Subtropical Moist Broadleaf Forests,Vietnam,14.0583,108.2772,Asia,185.616,30.936,NA,NA,NA,NA,NA,NA,East_Asian,VIE3
TAI1-C,Phoebe,Taiwanese aborigines,M,154,tropical and subtropical moist broadleaf forests,China,23.6978,120.9605,Asia,188.2,74.4,NA,NA,NA,NA,NA,67.6,Taiwanese,TAI1-C
VIE3,Phoebe,Kinh,F,3132,Tropical and Subtropical Moist Broadleaf Forests,Vietnam,14.0583,108.2772,Asia,201.084,30.936,NA,NA,NA,NA,NA,NA,East_Asian,VIE3
TAI1-B,Phoebe,Fukiens,M,182,tropical and subtropical moist broadleaf forests,China,23.6978,120.9605,Asia,203.4,28.3,NA,NA,NA,NA,NA,58.8,Chinese,TAI1-B
TAI1-A,Phoebe,Hakaas,M,204,tropical and subtropical moist broadleaf forests,China,23.6978,120.9605,Asia,206.3,84.3,NA,NA,NA,NA,NA,61.6,Chinese,TAI1-A
TAI1-B,Phoebe,Fukiens,F,258,tropical and subtropical moist broadleaf forests,China,23.6978,120.9605,Asia,209.1,61.9,NA,NA,NA,NA,NA,57.8,Chinese,TAI1-B
TAI1-C,Phoebe,Taiwanese aborigines,F,258,tropical and subtropical moist broadleaf forests,China,23.6978,120.9605,Asia,209.8,38,NA,NA,NA,NA,NA,68.9,Taiwanese,TAI1-C
TAI1-A,Phoebe,Hakaas,F,264,tropical and subtropical moist broadleaf forests,China,23.6978,120.9605,Asia,220.6,81.6,NA,NA,NA,NA,NA,59.6,Chinese,TAI1-A
